hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|FL,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
HC CT ABDOMEN W CONTRAST,32000074,CDM,320,RC,74022,HCPCS,facility,both,,,,879,879,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EX, SWALL FUNC W/CIN/VID RAD, INCL SCOUT RAD(S)&IMG(S), CONTR STDY",32000075,CDM,320,RC,74190,HCPCS,facility,both,,,,842,842,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXM, SM INT,INCL MULTI IMGS&SCOUT ABD RAD(S), SNGL-CONTR STDY",32000077,CDM,320,RC,74220,HCPCS,facility,both,,,,672,672,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXM, SM INT,INCL MULTI IMGS&SCOUT ABD RAD(S), DBL- CONTR STDY",32000078,CDM,320,RC,74230,HCPCS,facility,both,,,,672,672,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXM, COLON, W/SCOUT ABD RAD(S) & DELAY IMG(S); WHEN PERF; SNGL STDY",32000082,CDM,320,RC,74250,HCPCS,facility,both,,,,633,633,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC THERAPEUTIC ENEMA CONTRAST OR AIR FOR OBSTRC,32000083,CDM,320,RC,74251,HCPCS,facility,both,,,,611,611,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CHOLANGIOGRAPHY/PANCREATOGRAPHY INTRAOP,32000084,CDM,320,RC,74270,HCPCS,facility,both,,,,1130,1130,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC INTRO LONG GI TUBE INC MULTI FLUORO & FILMS,32000086,CDM,320,RC,74283,HCPCS,facility,both,,,,886,886,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PERC TRANSHEPATIC DILATION BILIARY DUCT,32000087,CDM,320,RC,74300,HCPCS,facility,both,,,,325,325,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC UROGRAPHY IV W OR W/O KUB/TOMOGRAPH,32000092,CDM,320,RC,74340,HCPCS,facility,both,,,,998,998,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC UROGRAPHY RETROGRADE W OR W/O KUB,32000093,CDM,320,RC,74363,HCPCS,facility,both,,,,5022,5022,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CYSTOGRAPHY MIN 3 VIEWS,32000094,CDM,320,RC,74400,HCPCS,facility,both,,,,1644,1644,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC URETHROCYSTOGRAPHY RETROGRADE S & I,32000095,CDM,320,RC,74420,HCPCS,facility,both,,,,1827,1827,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC URETHROCYSTOGRAPHY VOIDING S & I,32000097,CDM,320,RC,74430,HCPCS,facility,both,,,,1494,1494,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC DILATE URETER(S) OR URETHRA,32000098,CDM,320,RC,74450,HCPCS,facility,both,,,,1644,1644,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PERINEOGRAM FOR SEX DETERMIN/ANOMALY,32000099,CDM,320,RC,74455,HCPCS,facility,both,,,,1619,1619,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CARDIAC MRI FOR MORPH & FUNC W/O CONTRAST,32000102,CDM,320,RC,74485,HCPCS,facility,both,,,,4142,4142,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CARDIAC MRI FOR MORPH & FUNC W/W/O CON,32000104,CDM,320,RC,74775,HCPCS,facility,both,,,,1484,1484,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY EXT UNILATERAL,32000106,CDM,320,RC,75801,HCPCS,facility,both,,,,1993,1993,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY EXT BILATERAL,32000107,CDM,320,RC,75805,HCPCS,facility,both,,,,4316,4316,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY CAVAL INFERIOR W/SERIALOGRAPHY,32000109,CDM,320,RC,75820,HCPCS,facility,both,,,,3276,3276,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY CAVAL SUPERIOR W/SERIALOGRAPH,32000110,CDM,320,RC,75822,HCPCS,facility,both,,,,3712,3712,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY RENAL UNILATERAL SELECTIVE,32000111,CDM,320,RC,75825,HCPCS,facility,both,,,,5144,5144,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY RENAL BILATERAL SELECTIVE,32000112,CDM,320,RC,75827,HCPCS,facility,both,,,,3072,3072,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY VENOUS SINUS/JUGULAR CATHETER,32000113,CDM,320,RC,75831,HCPCS,facility,both,,,,11947,11947,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC DISOPYRAMIDE,32000114,CDM,320,RC,75833,HCPCS,facility,both,,,,19951,19951,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC VENOGRAPHY SUPERIOR SAGITTAL SINUS,32000115,CDM,320,RC,75860,HCPCS,facility,both,,,,5273,5273,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PERCUT TRANSHEPATIC PORTOGRAM W/O HDM,32000116,CDM,320,RC,75870,HCPCS,facility,both,,,,4180,4180,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HEPATIC VENOGRAPHY W/ HDM,32000117,CDM,320,RC,75885,HCPCS,facility,both,,,,4874,4874,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC AMIODARONE,32000118,CDM,320,RC,75887,HCPCS,facility,both,,,,4838,4838,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC  S CEREVISIAE AB,32000119,CDM,320,RC,75889,HCPCS,facility,both,,,,4918,4918,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC E HISTOLYTICA AB,32000120,CDM,320,RC,75891,HCPCS,facility,both,,,,4950,4950,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC IDENT BY DNA SEQUENCE,32000121,CDM,320,RC,75893,HCPCS,facility,both,,,,8876,8876,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC LEGIONELLA AG,32000122,CDM,320,RC,75894,HCPCS,facility,both,,,,14393,14393,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC STREP PNUMO AG,32000124,CDM,320,RC,75898,HCPCS,facility,both,,,,3309,3309,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC TRANSCATHETER BIOPSY,32000126,CDM,320,RC,75901,HCPCS,facility,both,,,,1458,1458,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PERC DRAINAGE CATH PLACEMENT W/ RAD GUID,32000127,CDM,320,RC,75902,HCPCS,facility,both,,,,700,700,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC FLUOROSCOPE EXAMINATION UP TO 1 HOUR,32000135,CDM,320,RC,75970,HCPCS,facility,both,,,,6056,6056,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EX FISTULA OR SINUS TRACT STUDY S & I,32000139,CDM,320,RC,75984,HCPCS,facility,both,,,,1142,1142,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC 3D RENDERING W/O POSTPROCESS,32000140,CDM,320,RC,75989,HCPCS,facility,both,,,,1309,1309,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC 3D RENDERING W POSTPROCESS,32000141,CDM,320,RC,76000,HCPCS,facility,both,,,,948,948,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT LIMITED OR LOCALIZED FOLLOW-UP STUDY,32000143,CDM,320,RC,76080,HCPCS,facility,both,,,,1658,1658,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ULTRASOUND CHEST INCLS MEDIASTINUM,32000145,CDM,320,RC,76499,HCPCS,facility,both,,,,1375,1375,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT SCAN FOR NEEDLE BIOPSY,32000146,CDM,320,RC,77001,HCPCS,facility,both,,,,1377,1377,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CT GUIDANCE TISSUE ABLATION,32000147,CDM,320,RC,77002,HCPCS,facility,both,,,,684,684,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC BONE AGE STUDIES,32000148,CDM,320,RC,77003,HCPCS,facility,both,,,,824,824,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM OSSEOUS SURVEY COMPLETE,32000152,CDM,320,RC,77072,HCPCS,facility,both,,,,545,545,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM OSSEOUS SURVEY INFANT,32000153,CDM,320,RC,77073,HCPCS,facility,both,,,,454,454,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC DXA BONE DENSITY STUDY, AXIAL 1+ SITES",32000154,CDM,320,RC,77074,HCPCS,facility,both,,,,523,523,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC LYMPHATICS AND LYMPH NODE IMAGING,32000155,CDM,320,RC,77075,HCPCS,facility,both,,,,920,920,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HEPATOBILIARY SYSTEM IMAG INC GALLBLADDER,32000156,CDM,320,RC,77076,HCPCS,facility,both,,,,1101,1101,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC GASTROESOPHAGEAL REFLUX SCAN,32000157,CDM,320,RC,77080,HCPCS,facility,both,,,,1039,1039,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC REPOSITIONING CENTRAL VENOUS CATHETER W/FLOURO,32000161,CDM,320,RC,75842,HCPCS,facility,both,,,,8541,8541,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC REPLACE GASTRO/CECO TUBE PERCUTANEOUS,32000162,CDM,320,RC,75840,HCPCS,facility,both,,,,6107,6107,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC MRI LEXTREM W&WO CONTR,32000202,CDM,320,RC,70371,HCPCS,facility,both,,,,989,989,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC INSERT CATHETER RENAL ARTERY 1ST UNILATERAL,32000203,CDM,320,RC,72120,HCPCS,facility,both,,,,549,549,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC US INFANT HIPS; DYNAMIC,32000204,CDM,320,RC,72200,HCPCS,facility,both,,,,350,350,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC LIVER & SPLEEN; STATIC ONLY,32000206,CDM,320,RC,73620,HCPCS,facility,both,,,,261,261,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HEPATOBIL SYST IMAGE W/DRUG,32000207,CDM,320,RC,74240,HCPCS,facility,both,,,,977,977,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ESOPHAGEAL MOTILITY,32000208,CDM,320,RC,74246,HCPCS,facility,both,,,,447,447,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC MRA ABDOMEN WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST,32000215,CDM,320,RC,76010,HCPCS,facility,both,,,,423,423,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC FINE NEEDLE ASPIRATION BIOPSY, W/US GUIDANCE, 1ST LESION",32000218,CDM,320,RC,70390,HCPCS,facility,both,,,,1173,1173,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC FINE NEEDLE ASPIRATION BIOPSY, W/FLUORO GUIDANCE, 1ST LESION",32000226,CDM,320,RC,74470,HCPCS,facility,both,,,,2015,2015,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC FINGER CAST MATERIAL,32000250,CDM,320,RC,70320,HCPCS,facility,both,,,,166,166,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC AUTO CELL PROC/PREP/STORE,32000252,CDM,320,RC,77077,HCPCS,facility,both,,,,523,523,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"DEAC 9/1/2020 HC LEUKOCYTE POOR BLOOD, PEDS, EA UNIT",32000255,CDM,320,RC,75807,HCPCS,facility,both,,,,8492,8492,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC DRAIN/INJ SMALL JOINT/BURSA W/US,32000258,CDM,320,RC,77086,HCPCS,facility,both,,,,260,260,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC INFECTIOUS AGENT DRUG SUSCEPTIBILITY PHENOTYPE,32000262,CDM,320,RC,72081,HCPCS,facility,both,,,,422,422,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC SOMATOSENSORY TESTING; UPPER & LOWER LIMBS,32000263,CDM,320,RC,72082,HCPCS,facility,both,,,,701,701,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CENTRAL MOTOR EVOKED UPPER & LOWER LIMBS,32000264,CDM,320,RC,72083,HCPCS,facility,both,,,,416,416,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC INFECTIOUS AGENT GENOTYPE ANALYSIS BY NUCLEIC ACID, RT/PR",32000265,CDM,320,RC,72084,HCPCS,facility,both,,,,845,845,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC INFECTIOUS AGENT GENOTYPE ANALYSIS BY NUCLEIC ACID, OTHER REGION",32000266,CDM,320,RC,73501,HCPCS,facility,both,,,,229,229,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC INSERTION/REPLACEMENT SUBCUTANEOUS DEFIBRILLATOR,32000267,CDM,320,RC,73502,HCPCS,facility,both,,,,464,464,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC INSERT SUBCUTANEOUS IMPLANTABLE DEFIBRILLATOR ELECTRODE,32000269,CDM,320,RC,73521,HCPCS,facility,both,,,,673,673,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC REMOVAL OF SUBCUTANEOUS IMPLANTABLE DEFIBRILLATOR,32000272,CDM,320,RC,73551,HCPCS,facility,both,,,,205,205,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC REPOSITIONING PREVIOUS  IMPLANTED SUBQ DEFIB ELECTRODE,32000273,CDM,320,RC,73552,HCPCS,facility,both,,,,603,603,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
DEAC 11/01/2023 HC ADM SARSCV2 BVL 3 MCG/0.2ML 2ND DOSE,32000274,CDM,320,RC,70355,HCPCS,facility,both,,,,379,379,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC DXA BONE DENSITY STDY, 1+ SITES; AXIAL SKEL, INCL VERTEB FRACTURE ASSESS",32000276,CDM,320,RC,77085,HCPCS,facility,both,,,,886,886,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC MUSCLE TEST DONE W/NERVE TEST LIMITED,32000277,CDM,320,RC,75803,HCPCS,facility,both,,,,3516,3516,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC X-RAY EXAM CHEST 2 VIEWS,32000278,CDM,320,RC,74018,HCPCS,facility,both,,,,423,423,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC X-RAY EXAM CHEST 3 VIEWS,32000279,CDM,320,RC,74019,HCPCS,facility,both,,,,678,678,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC X-RAY EXAM CHEST 4 OR MORE VIEWS,32000280,CDM,320,RC,74021,HCPCS,facility,both,,,,755,755,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC HEALTH BEHAVIOR INTERV GROUP FACE TO FACE; 1ST 30 MIN,32000281,CDM,320,RC,74248,HCPCS,facility,both,,,,135,135,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CYTOGENOMIC NEO MICRORA ALYS (350),32000283,CDM,921,RC,93986,HCPCS,facility,both,,,,397,397,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC COMPRE ELECTROPHYSIOLOGIC ARRHYTHMIA INDUCTION,32000284,CDM,320,RC,76496,HCPCS,facility,both,,,,993,993,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ELECTROPHYSIOLOGY EVALUATION,32000285,CDM,320,RC,75880,HCPCS,facility,both,,,,2885,2885,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ESOPHAGEAL REC ATRIAL W/WO VENTR ELECTRGRAMS W/PACG,32000286,CDM,320,RC,75872,HCPCS,facility,both,,,,3815,3815,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM HUMERUS, MIN 2 VIEWS",32200001,CDM,322,RC,73040,HCPCS,facility,both,,,,1970,1970,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM UPPER EXT INFANT MIN 2 VIEWS,32200002,CDM,322,RC,73085,HCPCS,facility,both,,,,1584,1584,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXAM HAND, MIN 3 VIEWS",32200003,CDM,322,RC,73115,HCPCS,facility,both,,,,2334,2334,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM KNEE 3 VIEWS,32200004,CDM,322,RC,73525,HCPCS,facility,both,,,,1642,1642,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM LOWER EXT INFANT MIN 2 VIEWS,32200005,CDM,322,RC,73580,HCPCS,facility,both,,,,1791,1791,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC RAD EXAM CALCANEUS MIN 2 VIEWS,32200006,CDM,322,RC,73615,HCPCS,facility,both,,,,1477,1477,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC AORTOGRAM ABDOMINAL W/ BILATERAL RUNOFF,32300001,CDM,323,RC,75605,HCPCS,facility,both,,,,8848,8848,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY SPINAL SELECTIVE,32300002,CDM,323,RC,75625,HCPCS,facility,both,,,,7274,7274,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY EXT UNILATERAL S & I,32300003,CDM,323,RC,75630,HCPCS,facility,both,,,,5064,5064,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY EXT BILATERAL S & I,32300012,CDM,323,RC,75705,HCPCS,facility,both,,,,10054,10054,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY VISCERAL SELECT/SUPRASELECT,32300013,CDM,323,RC,75710,HCPCS,facility,both,,,,4534,4534,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY ADRENAL UNILATERAL SELECTIVE,32300014,CDM,323,RC,75716,HCPCS,facility,both,,,,5280,5280,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY ADRENAL BILATERAL SELECTIVE,32300015,CDM,323,RC,75726,HCPCS,facility,both,,,,8099,8099,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY PELVIC SELECT/SUPRASELECT,32300016,CDM,323,RC,75731,HCPCS,facility,both,,,,3981,3981,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY PULMONARY UNILAT SELECTIVE,32300017,CDM,323,RC,75733,HCPCS,facility,both,,,,6107,6107,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY PULMONARY BILAT  SELECTIVE,32300018,CDM,323,RC,75736,HCPCS,facility,both,,,,7934,7934,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY PULMONARY NONSEL CATH/INJECT,32300019,CDM,323,RC,75741,HCPCS,facility,both,,,,3948,3948,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ANGIOGRAPHY SELECTIVE EA ADDTL VESSEL,32300020,CDM,323,RC,75743,HCPCS,facility,both,,,,5648,5648,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC LYMPHANGIOGRAPHY EXT ONLY UNILAT,32300021,CDM,323,RC,75746,HCPCS,facility,both,,,,4929,4929,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC LYMPHANGIOGRAPHY PELVIC/ABDOMINAL UNILAT,32300023,CDM,323,RC,75774,HCPCS,facility,both,,,,2000,2000,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RIBS X-RAY, BILAT, MIN 4 VIEWS INCL CHEST",32400009,CDM,320,RC,71101,HCPCS,facility,both,,,,538,538,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC STERNUM X-RAY MIN 2 VIEWS,32400010,CDM,320,RC,71111,HCPCS,facility,both,,,,619,619,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC STERNOCLAVICULAR JT(S) X-RAY MIN 3 VIEWS,32400011,CDM,320,RC,71120,HCPCS,facility,both,,,,305,305,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC DX CT THORAX W/O CONTRAST,32400012,CDM,320,RC,71130,HCPCS,facility,both,,,,355,355,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXM, UGI, W/SCOUT ABD RAD(S) & DELAY IMG(S); WHEN PERF; SNGL STDY",32400020,CDM,320,RC,71100,HCPCS,facility,both,,,,361,361,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC RAD EXM, UGI, W/SCOUT ABD RAD(S) & DELAY IMG(S); WHEN PERF; DBL STDY",32400022,CDM,320,RC,71110,HCPCS,facility,both,,,,604,604,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC IMMUNOGLOBULIN; IGA, IGD, IGG, IGM EACH",32400025,CDM,324,RC,71045,HCPCS,facility,both,,,,795,795,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC ENDOMYSIAL AB (EMA), EA IMMUNOGLOBULIN (IG) CLASS",32400026,CDM,324,RC,71046,HCPCS,facility,both,,,,1118,1118,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CINE OR VIDEO SPEECH EVAL,32400026,CDM,324,RC,71046,HCPCS,facility,both,,,,15,15,,,,,,,,,,,,,Gross Charge Type: ACH CLIENT BILLING FEE SCHEDULE
HC X-RAY EXAM OF RIBS 2 VIEWS UNILAT,32400027,CDM,324,RC,71047,HCPCS,facility,both,,,,1440,1440,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC X-RAY EXAM OF RIBS 3 VIEWS BILAT,32400028,CDM,324,RC,71048,HCPCS,facility,both,,,,1536,1536,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CHEMOTHERAPY ADMIN, IVP EA ADDL",33100001,CDM,331,RC,96401,HCPCS,facility,both,,,,513,513,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CHEMOTHERAPY IV INFUSION, 1ST HR",33100002,CDM,331,RC,96402,HCPCS,facility,both,,,,521,521,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CHEMOTHERAPY IV INFUSION, EA ADDL HR",33100003,CDM,331,RC,96409,HCPCS,facility,both,,,,838,838,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CHEMOTHERAPY IV INFUSION, EA ADDL SEQ",33100004,CDM,331,RC,96411,HCPCS,facility,both,,,,267,267,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC PARAFFIN BATH THERAPY,33100005,CDM,331,RC,96450,HCPCS,facility,both,,,,2785,2785,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC ELECTRICAL STIMULATION EA 15 MINS,33100006,CDM,331,RC,96542,HCPCS,facility,both,,,,629,629,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
"HC CHEMOTHERAPY ADMIN, CNS W/LP",33500001,CDM,335,RC,96413,HCPCS,facility,both,,,,1320,1320,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC CHEMOTHERAPY INJ VIA SQ RESERVOIR,33500002,CDM,335,RC,96415,HCPCS,facility,both,,,,319,319,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
HC IRRIGATION OF IMPLANTED VAD,33500003,CDM,335,RC,96417,HCPCS,facility,both,,,,634,634,,,,,,,,,,,,,Gross Charge Type: ACH DEFAULT FEE SCHEDULE
